State,Number
Alabama,92
Alaska,2
Arizona,17
Arkansas,56
California,427
Colorado,19
Connecticut,37
Delaware,10
District of Columbia,76
Florida,122
Georgia,141
Hawaii,2
Idaho,5
Illinois,293
Indiana,158
Iowa,24
Kansas,36
Kentucky,117
Louisiana,124
Maine,2
Maryland,77
Massachusetts,45
Michigan,162
Minnesota,65
Mississippi,93
Missouri,74
Montana,11
Nebraska,16
Nevada,12
New Hampshire,1
New Jersey,146
New Mexico,7
New York,419
North Carolina,146
North Dakota,6
Ohio,200
Oklahoma,49
Oregon,32
Pennsylvania,240
Rhode Island,11
South Carolina,46
South Dakota,5
Tennessee,96
Texas,200
Utah,26
Virginia,85
Washington,67
West Virginia,28
Wisconsin,68
Wyoming,7